citation,full_reference,exp,,
andresen_et_al_2009,"andresen,_l_c,_michelsen,_a,_jonasson,_s,_beier,_c,_&_ambus,_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought acta_oecologica, 35(6),_786-796",climaite_dw,,
andresen_et_al_2009,"andresen_lc,_michelsen_a,_jonasson_s,_beier_c,_ambus_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought_acta_oecologica,_35,_786–796",climaite_w,,
andresen_et_al_2009,"andresen,_l_c,_michelsen,_a,_jonasson,_s,_beier,_c,_&_ambus,_p_(2009)_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature,_co2_and_drought acta_oecologica, 35(6),_786-796",climaite_w,,
andresen_et_al_2010,"andresen_lc,_michelsen_a,_ambus_p,_beier_c_(2010)_Belowground_heathland_responses_after_2_years_of_combined_warming,_elevated_CO2_and_summer_drought_biogeochemistry,_101,_27–42",climaite_c,,
andresen_et_al_2010,"andresen_lc,_michelsen_a,_ambus_p,_beier_c_(2010)_Belowground_heathland_responses_after_2_years_of_combined_warming,_elevated_CO2_and_summer_drought_biogeochemistry,_101,_27–42",climaite_cd,,
andresen_et_al_2010,"andresen_lc,_michelsen_a,_ambus_p,_beier_c_(2010)_Belowground_heathland_responses_after_2_years_of_combined_warming,_elevated_CO2_and_summer_drought_biogeochemistry,_101,_27–42",climaite_cw,,
andresen_et_al_2010,"andresen_lc,_michelsen_a,_ambus_p,_beier_c_(2010)_Belowground_heathland_responses_after_2_years_of_combined_warming,_elevated_CO2_and_summer_drought_biogeochemistry,_101,_27–42",climaite_cwd,,
andresen_et_al_2010,"andresen_lc,_michelsen_a,_ambus_p,_beier_c_(2010)_Belowground_heathland_responses_after_2_years_of_combined_warming,_elevated_CO2_and_summer_drought_biogeochemistry,_101,_27–42",climaite_d,,
andresen_et_al_2010,"andresen_lc,_michelsen_a,_ambus_p,_beier_c_(2010)_Belowground_heathland_responses_after_2_years_of_combined_warming,_elevated_CO2_and_summer_drought_biogeochemistry,_101,_27–42",climaite_dw,,
andresen_et_al_2010,"andresen_lc,_michelsen_a,_ambus_p,_beier_c_(2010)_Belowground_heathland_responses_after_2_years_of_combined_warming,_elevated_CO2_and_summer_drought_biogeochemistry,_101,_27–42",climaite_w,,
andrews_and_schlesinger_2001,"andrews_ja,_schlesinger_wh,_2001_soil_co2_dynamics,_acidification,_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_15(1):_149-162",dukeface_c,,
ansley_et_al_2014,"ansley,_r_j,_boutton,_t_w,_&_jacoby,_p_w_(2014)_Root_biomass_and_distribution_patterns_in_a_semi-arid_mesquite_savanna:_responses_to_long-term_rainfall_manipulation rangeland_ecology_&_management, 67(2),_206-218",texas_d,,
ansley_et_al_2014,"ansley,_r_j,_boutton,_t_w,_&_jacoby,_p_w_(2014)_Root_biomass_and_distribution_patterns_in_a_semi-arid_mesquite_savanna:_responses_to_long-term_rainfall_manipulation rangeland_ecology_&_management, 67(2),_206-218",texas_i,,
anten_et_al_2003,"anten_et_al,_elevated_co
2
and_nitrogen_availability_have_interactive
effects_on_canopy_carbon_gain_in_rice_new_phytologist
(2003)
161
:_459–471",riceface_shizukuishi_a_2000_c,,
anten_et_al_2003,"anten_et_al,_elevated_co
2
and_nitrogen_availability_have_interactive
effects_on_canopy_carbon_gain_in_rice_new_phytologist
(2003)
161
:_459–471",riceface_shizukuishi_a_2000_cf,,
anten_et_al_2003,"anten_et_al,_elevated_co
2
and_nitrogen_availability_have_interactive
effects_on_canopy_carbon_gain_in_rice_new_phytologist
(2003)
161
:_459–471",riceface_shizukuishi_a_2000_f,,
antoninka_et_al_2009,"antoninka_a,_wolf_je,_bowker_m,_classen_at,_johnson_nc_2009_linking_above‐and_belowground_responses_to_global_change_at_community_and_ecosystem_scales global_change_biology, 15(4):_914-929",biocon_c,,
antoninka_et_al_2009,"antoninka_a,_wolf_je,_bowker_m,_classen_at,_johnson_nc_2009_linking_above‐and_belowground_responses_to_global_change_at_community_and_ecosystem_scales global_change_biology, 15(4):_914-929",biocon_cf,,
antoninka_et_al_2009,"antoninka_a,_wolf_je,_bowker_m,_classen_at,_johnson_nc_2009_linking_above‐and_belowground_responses_to_global_change_at_community_and_ecosystem_scales global_change_biology, 15(4):_914-929",biocon_f,,
antoninka_et_al_2011,"antoninka_a,_reich_pb,_johnson_nc_2011_seven_years_of_carbon_dioxide_enrichment,_nitrogen_fertilization_and_plant_diversity_influence_arbuscular_mycorrhizal_fungi_in_a_grassland_ecosystem new_phytologist, 192(1):_200-214",biocon_c,,
antoninka_et_al_2011,"antoninka_a,_reich_pb,_johnson_nc,_2011_seven_years_of_carbon_dioxide_enrichment,_nitrogen_fertilization_and_plant_diversity_influence_arbuscular_mycorrhizal_fungi_in_a_grassland_ecosystem_new_phytologist,_doi:101111/j1469-8137201103776x",biocon_c,,
antoninka_et_al_2011,"antoninka_a,_reich_pb,_johnson_nc,_2011_seven_years_of_carbon_dioxide_enrichment,_nitrogen_fertilization_and_plant_diversity_influence_arbuscular_mycorrhizal_fungi_in_a_grassland_ecosystem_new_phytologist,_doi:101111/j1469-8137201103776x",biocon_cf,,
antoninka_et_al_2011,"antoninka_a,_reich_pb,_johnson_nc_2011_seven_years_of_carbon_dioxide_enrichment,_nitrogen_fertilization_and_plant_diversity_influence_arbuscular_mycorrhizal_fungi_in_a_grassland_ecosystem new_phytologist, 192(1):_200-214",biocon_cf,,
antoninka_et_al_2011,"antoninka_a,_reich_pb,_johnson_nc,_2011_seven_years_of_carbon_dioxide_enrichment,_nitrogen_fertilization_and_plant_diversity_influence_arbuscular_mycorrhizal_fungi_in_a_grassland_ecosystem_new_phytologist,_doi:101111/j1469-8137201103776x",biocon_f,,
antoninka_et_al_2011,"antoninka_a,_reich_pb,_johnson_nc_2011_seven_years_of_carbon_dioxide_enrichment,_nitrogen_fertilization_and_plant_diversity_influence_arbuscular_mycorrhizal_fungi_in_a_grassland_ecosystem new_phytologist, 192(1):_200-214",biocon_f,,
arachchige_et_al_2017,"arachchige_pms,_ang_c-s,_nicolas_me,_et_al_(2017)_wheat_(triticum_aestivum_l)_grain_proteome_response_to_elevated_[co2]_varied_between_genotypes_journal_of_cereal_science_doi:_101016/jjcs201703010",horsham_face11h_c,,
arachchige_et_al_2017,"arachchige_pms,_ang_c-s,_nicolas_me,_et_al_(2017)_wheat_(triticum_aestivum_l)_grain_proteome_response_to_elevated_[co2]_varied_between_genotypes_journal_of_cereal_science_doi:_101016/jjcs201703010",horsham_face11s3_c,,
arachchige_et_al_2017,"arachchige_pms,_ang_c-s,_nicolas_me,_et_al_(2017)_wheat_(triticum_aestivum_l)_grain_proteome_response_to_elevated_[co2]_varied_between_genotypes_journal_of_cereal_science_doi:_101016/jjcs201703010",horsham_face11s62_c,,
arachchige_et_al_2017,"arachchige_pms,_ang_c-s,_nicolas_me,_et_al_(2017)_wheat_(triticum_aestivum_l)_grain_proteome_response_to_elevated_[co2]_varied_between_genotypes_journal_of_cereal_science_doi:_101016/jjcs201703010",horsham_face11y_c,,
aranjuelo_et_al_2011,"aranjuelo_i,_ebbets_al,_evans_rd,_tissue_dt,_nogués_s,_van_gestel_n,payton_p,_ebbert_v,_adams_ww,_nowak_rs,_smith_sd_(2011)_maintenance_of_c_sinks_sustains_enhanced_c_assimilation_during_long-term_exposure_to_elevated_[co2]_in_mojave_desert_shrubs_oecologia_167:_339-354",nevada_desert_face_c,,
arndal_et_al_2013a,"arndal_mf,_merrild_mp,_michelsen_a,_et_al_(2013)_net_root_growth_and_nutrient_acquisition_in_response_to_predicted_climate_change_in_two_contrasting_heathland_species_plant_and_soil_369:615–629_doi:_101007/s11104-013-1601-8",climaite_c,,
arndal_et_al_2013a,"arndal_mf,_merrild_mp,_michelsen_a,_et_al_(2013)_net_root_growth_and_nutrient_acquisition_in_response_to_predicted_climate_change_in_two_contrasting_heathland_species_plant_and_soil_369:615–629_doi:_101007/s11104-013-1601-9",climaite_cd,,
arndal_et_al_2013a,"arndal_mf,_merrild_mp,_michelsen_a,_et_al_(2013)_net_root_growth_and_nutrient_acquisition_in_response_to_predicted_climate_change_in_two_contrasting_heathland_species_plant_and_soil_369:615–629_doi:_101007/s11104-013-1601-10",climaite_cw,,
arndal_et_al_2013a,"arndal_mf,_merrild_mp,_michelsen_a,_et_al_(2013)_net_root_growth_and_nutrient_acquisition_in_response_to_predicted_climate_change_in_two_contrasting_heathland_species_plant_and_soil_369:615–629_doi:_101007/s11104-013-1601-11",climaite_cwd,,
arndal_et_al_2013a,"arndal_mf,_merrild_mp,_michelsen_a,_et_al_(2013)_net_root_growth_and_nutrient_acquisition_in_response_to_predicted_climate_change_in_two_contrasting_heathland_species_plant_and_soil_369:615–629_doi:_101007/s11104-013-1601-12",climaite_d,,
arndal_et_al_2013a,"arndal_mf,_merrild_mp,_michelsen_a,_et_al_(2013)_net_root_growth_and_nutrient_acquisition_in_response_to_predicted_climate_change_in_two_contrasting_heathland_species_plant_and_soil_369:615–629_doi:_101007/s11104-013-1601-14",climaite_dw,,
arndal_et_al_2013a,"arndal_mf,_merrild_mp,_michelsen_a,_et_al_(2013)_net_root_growth_and_nutrient_acquisition_in_response_to_predicted_climate_change_in_two_contrasting_heathland_species_plant_and_soil_369:615–629_doi:_101007/s11104-013-1601-13",climaite_w,,
arndal_et_al_2013b,"arndal_mf,_schmidt_ik,_kongstad_j,_et_al_(2013)_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming,_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41:1–10",climaite_c,,
arndal_et_al_2013b,"arndal_mf,_schmidt_ik,_kongstad_j,_et_al_(2013)_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming,_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41:1–10",climaite_cd,,
arndal_et_al_2013b,"arndal_mf,_schmidt_ik,_kongstad_j,_et_al_(2013)_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming,_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41:1–10",climaite_cw,,
arndal_et_al_2013b,"arndal_mf,_schmidt_ik,_kongstad_j,_et_al_(2013)_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming,_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41:1–10",climaite_cwd,,
arndal_et_al_2013b,"arndal_mf,_schmidt_ik,_kongstad_j,_et_al_(2013)_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming,_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41:1–10",climaite_d,,
arndal_et_al_2013b,"arndal_mf,_schmidt_ik,_kongstad_j,_et_al_(2013)_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming,_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41:1–10",climaite_dw,,
arndal_et_al_2013b,"arndal_mf,_schmidt_ik,_kongstad_j,_et_al_(2013)_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming,_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41:1–10",climaite_w,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",climaite_c,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",climaite_cd,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",climaite_cw,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",climaite_cwd,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",climaite_d,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",climaite_dw,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",climaite_w,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",copenhagen_c,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",copenhagen_cd,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",copenhagen_cdw,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",copenhagen_cw,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",copenhagen_d,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",copenhagen_dw,,
arndal_et_al_2018,"arndal_mf,_tolver_a,_larsen_ks,_et_al_(2018)_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2,_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",copenhagen_w,,
arnone_and_koerner_1995,"arnone_ja,_korner_c_(1995)_soil_and_biomass_carbon_pools_in_model_communities_of_tropical_plants_under_elevated_co2_oecologia,_104,_61-71",ub_tropical2_c,,
arnone_et_al_2008,"arnone_et_al,_2008_prolonged_suppression_of_ecosystem_carbon_dioxide_uptake_after_an_anomalously_warm_year_nature_455,_383-386",ecocells_w,,
arrendo_et_al_2016,"arrendo_et_al,_2016_drought_manipulation_and_its_direct_and_legacy_effects_on_productivity_of_a_monodominant_and_mixed-species_semi-arid_grassland_tulio",vaquerias_d,,
arrendo_et_al_2016,"arrendo_et_al,_2016_drought_manipulation_and_its_direct_and_legacy_effects_on_productivity_of_a_monodominant_and_mixed-species_semi-arid_grassland_tulio",vaquerias_d2,,
arrendo_et_al_2018,"arrendo_et_al,_2018_does_precipitation_affects_soil_respiration_of_tropical_semiarid_grasslands
with_different_plant_cover_types?",vaquerias_b_d,,
asensio_et_al_2007,"asensio,_d,_penuelas,_j,_llusia,_j,_ogaya,_r,_&_filella,_l_(2007)_Interannual_and_interseasonal_soil_CO₂_efflux_and_VOC_exchange_rates_in_a_Mediterranean_holm_oak_forest_in_response_to_experimental_drought_soil_biol_biochem_39,_2471-2484",prades_d,,
asseng_et_al_2004,"asseng_et_al,_2004_simulated_wheat_growth_affected_by_rising_temperature,
increased_water_deficit_and_elevated_atmospheric_co2_field_crops_research_85_(2004)_85–102",maricopaface_wheat94_c,,
asshoff_and_haettenschwiler_2005,"asshoff_r,_haettenschwiler_s_(2005)_growth_and_reproduction_of_the_alpine_grasshopper_miramella_alpina_feeding_on_co2-enriched_dwarf_shrubs_at_treeline_oecologia,_142,_191–201",st_face_c,,
asshoff_and_haettenschwiler_2006,"asshoff_r,_haettenschwiler_s_(2006)_changes_in_needle_quality_and_larch_bud_moth_performance_in_response_to_co2_enrichment_and_defoliation_of_treeline_larches_ecological_entomology,_31,_84–90",st_face_ld_c,,
atkin_et_al_2006,"atkin,_ok,_et_al_high_thermal_acclimation_potential_of_both_photosynthesis_and_respiration_in_two_lowland_plantago_species_in_contrast_to_an_alpine_congeneric_global_change_biology_(2006)_12,_500–515",kosciuszko_2_w,,
atkin_et_al_2006,"atkin,_ok,_et_al_high_thermal_acclimation_potential_of_both_photosynthesis_and_respiration_in_two_lowland_plantago_species_in_contrast_to_an_alpine_congeneric_global_change_biology_(2006)_12,_500–515",kosciuszko_2_w2,,
atkin_et_al_2007,"atkin_ok,_et_al_respiration_as_a_percentage_of_daily_photosynthesis_in_whole_plants_is_homeostatic_at_moderate,_but_not_high,_growth_temperatures_new_phytologist_(2007)_174:_367–380",kosciuszko_w,,
atkin_et_al_2007,"atkin_ok,_et_al_respiration_as_a_percentage_of_daily_photosynthesis_in_whole_plants_is_homeostatic_at_moderate,_but_not_high,_growth_temperatures_new_phytologist_(2007)_174:_367–380",kosciuszko_w2,,
austin_et_al_2009,"austin,_e_e,_castro,_h_f,_sides,_k_e,_schadt,_c_w,_&_classen,_a_t_(2009)_assessment_of_10_years_of_co2_fumigation_on_soil_microbial_communities_and_function_in_a_sweetgum_plantation soil_biology_and_biochemistry, 41(3),_514-520",ornerp_liqui2_c,,
auyeung_et_al_2012,"auyeung,_d_s_n,_suseela,_v,_&_dukes,_j_s_(2013)_warming_and_drought_reduce_temperature_sensitivity_of_nitrogen_transformations_global_change_biology,_19(2),_662-676",bace_d,,
auyeung_et_al_2012,"auyeung,_d_s_n,_suseela,_v,_&_dukes,_j_s_(2013)_warming_and_drought_reduce_temperature_sensitivity_of_nitrogen_transformations_global_change_biology,_19(2),_662-676",bace_i,,
auyeung_et_al_2015,"auyeung,_d_n,_martiny,_j_b,_&_dukes,_j_s_(2015)_nitrification_kinetics_and_ammonia‐oxidizing_community_respond_to_warming_and_altered_precipitation ecosphere, 6(5),_1-17",bace_d,,
auyeung_et_al_2015,"auyeung,_d_n,_martiny,_j_b,_&_dukes,_j_s_(2015)_nitrification_kinetics_and_ammonia‐oxidizing_community_respond_to_warming_and_altered_precipitation ecosphere, 6(5),_1-17",bace_i,,
awal_and_ikeda_2003,"awal,_ma,_ikeda,_t_effect_of_elevated_soil_temperature_on_radiation-use_efficiency_in_peanut_stands_agricultural_and_forest_meteorology_118_(2003)_63–74",niigata_w-,,
awal_and_ikeda_2003,"awal,_ma,_ikeda,_t_effect_of_elevated_soil_temperature_on_radiation-use_efficiency_in_peanut_stands_agricultural_and_forest_meteorology_118_(2003)_63–74",niigata_w2,,
backhaus_et_al_2014,"backhaus,_s,_kreyling,_j,_grant,_k,_beierkuhnlein,_c,_walter,_j,_&_jentsch,_a_(2014)_recurrent_mild_drought_events_increase_resistance_toward_extreme_drought_stress ecosystems, 17(6),_1068-1081",bayreuth_event1_d,,
badeck_et_al_1997,"badeck_f-w,_dufrêne_e,_epron_d,_et_al_(1997)_sweet_chestnut_and_beech_saplings_under_elevated_co2_in:_impacts_of_global_change_on_tree_physiology_and_forest_ecosystems_(eds_mohren_gmj,_kramer_k,_sabaté_s),_pp_15-25_kluwer_academic_publishers,_dordrecht",orsay2_c,,
badeck_et_al_1997,"badeck_f-w,_dufrêne_e,_epron_d,_et_al_(1997)_sweet_chestnut_and_beech_saplings_under_elevated_co2_in:_impacts_of_global_change_on_tree_physiology_and_forest_ecosystems_(eds_mohren_gmj,_kramer_k,_sabaté_s),_pp_15-25_kluwer_academic_publishers,_dordrecht",orsay2_cf,,
